t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
3,maize,-0.06290894631360443,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,maize,-0.016779273136794965,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,maize,0.002050337152370319,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,maize,0.0038697734116433847,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,maize,0.001698883575071005,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,maize,0.00059343379492020495,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,ngas_us,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,ngas_us,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,ngas_us,0.07789907188496537,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,ngas_us,0.010809636944782479,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,ngas_us,0.003789981719431985,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,ngas_us,0.00339088467203747,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,ngas_us,0.002484914626332135,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,ngas_us,0.001468114868212213,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,nickel,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,nickel,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,nickel,0.047952036905208884,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,nickel,0.0016190489052122503,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,nickel,-0.004092343434361905,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,nickel,-0.0014442639967765147,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,nickel,-5.548859354875165e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,nickel,-3.302017362267215e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,platinum,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,platinum,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,platinum,0.015458984009000485,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,platinum,-0.0011279007785899003,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,platinum,0.0026007278659112153,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,platinum,3.5817350052151365e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,platinum,-5.148104129622399e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,platinum,-5.654217975554659e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,silver,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,silver,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,silver,0.02793456298790397,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,silver,0.0025784354785957156,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,silver,-0.0030111063407804103,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,silver,-0.0034486816994988485,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,silver,-0.0023594152397193482,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,silver,-0.0015312280470848373,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,soybeans,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,soybeans,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,soybeans,-0.011132245734481716,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,soybeans,-0.02367890016992011,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,soybeans,-0.011434956134335615,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,soybeans,-0.004114062538359615,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,soybeans,-0.00148761079665812,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,soybeans,-5.329205747863568e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,sugar_wld,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,sugar_wld,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,sugar_wld,0.06988102585827238,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,sugar_wld,0.06275672195290298,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,sugar_wld,0.02558461481632392,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,sugar_wld,0.008661436676048226,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,sugar_wld,0.002445375738923965,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,sugar_wld,3.4022947912085535e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,tin,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,tin,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,tin,0.022014069531482376,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,tin,0.028950785320621796,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,tin,0.014854255897557829,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,tin,0.006347467688903115,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,tin,0.0028952033679498345,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,tin,0.00135995839830043,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,wheat_us_hrw,0.06824839992087336,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,wheat_us_hrw,6.357012726220315e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,wheat_us_hrw,-0.0022130606900024503,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,wheat_us_hrw,-0.0011572845598272,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,wheat_us_hrw,-8.299666128801298e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,wheat_us_hrw,-3.7474710061586496e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,zinc,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,zinc,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,zinc,0.048982793489557336,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,zinc,0.06085862719860208,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,zinc,0.029529931243155793,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,zinc,0.01107544490473515,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,zinc,0.0034500081649103793,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,zinc,5.252484466904178e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
